id;nom_entreprise;nom_poste;date_experience;description_experience
1;Frozen;Investment Picardie Home;2022-02-03T00:50:10;Maroc Bourgogne Gambie
2;cutting-edge;circuit Table Account;2022-02-02T14:38:58;Kwacha Peso
3;la bypassing withdrawal;bandwidth parse;2022-02-02T17:42:03;Cambridgeshire Rubber Kip
4;Ouguiya back-end Paris;Plastic;2022-02-03T08:30:03;distributed
5;Berkshire Frozen;compress open-source primary;2022-02-03T07:20:55;AI Auto Generic
6;Account;a auxiliary structure;2022-02-02T13:35:49;b Card Account
7;engineer;Steel;2022-02-02T12:16:38;tolerance
8;Manager transmitting Jordan;Chicken Venezuela;2022-02-03T00:57:49;system
9;infomediaries overriding;Wooden;2022-02-02T14:39:53;web-readiness b e-business
10;Shoes revolutionize;a platforms relationships;2022-02-03T04:44:35;Buckinghamshire b Awesome
